"","data","mes_(%)","ano_(%)","em_6_meses_(%)","em_12_meses_(%)","numero_indice","MoM_IVGP_mes(%)","YoY_IVPG_ano(%)"
"1",2022-04-01,0.84,4.38,5.03,8.94,622.28,-0.497005988023952,-0.0179372197309417
"2",2022-03-01,1.67,3.5,4.34,8.98,617.07,0.403361344537815,-0.0140845070422535
"3",2022-02-01,1.19,1.81,3.31,8.49,606.96,0.950819672131147,-0.216450216450216
"4",2022-01-01,0.61,0.61,3,8.15,599.79,0.525,-0.570422535211268
"5",2021-12-01,0.4,9.03,3.36,9.03,596.19,0.739130434782609,0.480327868852459
"6",2021-11-01,0.23,8.6,3.38,9.27,593.82,0.277777777777778,0.577981651376147
"7",2021-10-01,0.18,8.35,3.73,9.59,592.48,-0.73134328358209,0.704081632653061
"8",2021-09-01,0.67,8.16,4.45,10.28,591.42,-0.247191011235955,1.00985221674877
"9",2021-08-01,0.89,7.44,5.01,10.03,587.5,-0.0729166666666666,1.06666666666667
"10",2021-07-01,0.96,6.49,5,9.56,582.33,1.28571428571429,1.07348242811502
"11",2021-06-01,0.42,5.48,5.48,9.53,576.81,-0.25,1.51376146788991
"12",2021-05-01,0.56,5.05,5.7,9.12,574.42,-0.363636363636364,1.35981308411215
"13",2021-04-01,0.88,4.46,5.65,8.83,571.2,-0.272727272727273,1.42391304347826
"14",2021-03-01,1.21,3.55,5.58,8.85,566.21,0.375,2.77659574468085
"15",2021-02-01,0.88,2.31,4.78,7.34,559.46,-0.380281690140845,1.04424778761062
"16",2021-01-01,1.42,1.42,4.34,6.58,554.59,1.29032258064516,0.463917525773196
"17",2020-12-01,0.62,6.1,3.84,6.1,546.82,0.192307692307692,6.92207792207792
"18",2020-11-01,0.52,5.45,3.24,6.06,543.47,-0.358024691358025,26.25
"19",2020-10-01,0.81,4.9,3.01,5.83,540.64,0.840909090909091,-45.5454545454546
"20",2020-09-01,0.44,4.06,3.09,4.68,536.29,-0.0434782608695653,21.5555555555556
"21",2020-08-01,0.46,3.6,2.44,3.52,533.94,-0.505376344086022,3.23529411764706
"22",2020-07-01,0.93,3.13,2.14,2.08,531.51,22.25,0.729281767955801
"23",2020-06-01,0.04,2.18,2.18,1.24,526.62,-0.866666666666667,0.282352941176471
"24",2020-05-01,0.3,2.14,2.73,1.43,526.41,-0.662921348314607,0.436241610738255
"25",2020-04-01,0.89,1.84,2.74,1.43,524.85,-5.68421052631579,0.559322033898305
"26",2020-03-01,-0.19,0.94,1.54,1.04,520.2,-2.11764705882353,0.402985074626866
"27",2020-02-01,0.17,1.13,1.05,1.34,521.21,-0.824742268041237,1.01785714285714
"28",2020-01-01,0.97,0.97,-0.06,1.51,520.35,0.701754385964912,3.21739130434783
"29",2019-12-01,0.57,0.77,-0.92,0.77,515.36,0.838709677419355,-0.811735941320293
"30",2019-11-01,0.31,0.2,-1.27,0.13,512.42,-2.06896551724138,-0.951923076923077
"31",2019-10-01,-0.29,-0.11,-1.28,-0.09,510.85,-0.567164179104478,-1.02702702702703
"32",2019-09-01,-0.67,0.18,-0.48,0.79,512.33,-0.279569892473118,-0.950413223140496
"33",2019-08-01,-0.93,0.85,0.29,1.57,515.79,-10.3,-0.746268656716418
"34",2019-07-01,0.1,1.81,1.57,3.53,520.66,-0.545454545454545,-0.233050847457627
"35",2019-06-01,0.22,1.7,1.7,4.7,520.14,-0.290322580645161,0.517857142857143
"36",2019-05-01,0.31,1.49,1.42,4.41,519.06,-0.392156862745098,0.26271186440678
"37",2019-04-01,0.51,1.18,1.2,4.52,517.47,4.1,0.532467532467532
"38",2019-03-01,0.1,0.67,1.28,4.01,514.83,-0.696969696969697,-0.0945945945945945
"39",2019-02-01,0.33,0.56,1.28,4.38,514.3,0.434782608695652,0.931034482758621
"40",2019-01-01,0.23,0.23,1.93,4.2,512.6,-4.28571428571429,0.769230769230769
"41",2018-12-01,-0.07,4.09,2.94,4.09,511.42,-1.77777777777778,-0.16530612244898
"42",2018-11-01,0.09,4.16,2.95,4.46,511.77,-0.847457627118644,-0.0956521739130434
"43",2018-10-01,0.59,4.07,3.28,4.39,511.32,4.9,-0.111353711790393
"44",2018-09-01,0.1,3.63,2.69,4.01,508.3,-0.896907216494845,-0.163594470046083
"45",2018-08-01,0.97,3.35,3.06,3.65,507.8,-0.211382113821138,-0.270152505446623
"46",2018-07-01,1.23,2.36,2.22,2.51,502.92,-18.5714285714286,-0.50210970464135
"47",2018-06-01,-0.07,1.12,1.12,1.69,496.79,-1.17073170731707,-0.73953488372093
"48",2018-05-01,0.41,1.18,1.46,1.96,471.12,19.5,-0.71219512195122
"49",2018-04-01,0.02,0.77,1.07,2.48,495.6,-0.955555555555555,-0.754777070063694
"50",2018-03-01,0.45,0.74,1.28,3.3,494.97,1.8125,-0.678260869565217
"51",2018-02-01,0.16,0.29,0.58,3.61,492.73,0.230769230769231,-0.810457516339869
"52",2018-01-01,0.13,0.13,0.28,4.18,491.95,-0.535714285714286,-0.841463414634146
"53",2017-12-01,0.28,4.9,0.57,4.9,491.31,13,-0.348404255319149
"54",2017-11-01,0.02,4.6,0.49,4.9,489.95,-0.91304347826087,-0.361997226074896
"55",2017-10-01,0.23,4.58,1.39,4.79,489.82,-1.95833333333333,-0.372602739726027
"56",2017-09-01,-0.24,4.34,1.99,4.31,488.71,0.714285714285714,-0.425925925925926
"57",2017-08-01,-0.14,4.59,3.02,5.03,489.9,-1.33333333333333,-0.351694915254237
"58",2017-07-01,0.42,4.74,3.88,5.35,490.57,1.1,-0.31304347826087
"59",2017-06-01,0.2,4.3,4.3,5.63,488.53,-0.782608695652174,-0.303079416531605
